input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
534,0.7595,122286,0.0235,3150
537,0.6915,122248,0.0275,2815
540,0.746,123244,0.023,3128
543,0.6975,124424,0.039,3161
546,0.7295,124593,0.0335,3009
549,0.7405,125910,0.012,3390
552,0.8225,130571,0.014,3195
555,0.6695,126953,0.018,2981
558,0.699,126270,0.004,3408
561,0.677,132487,0.032,3427
564,0.7375,130866,0.019,3405
567,0.7005,134199,0.039,3506
570,0.75,135774,0,3328
573,0.7735,140779,0.016,3410
576,0.772,140916,0.023,3545
579,0.73,140747,0.039,3257
582,0.7765,144282,0.0235,3753
585,0.757,141256,0.024,3444
588,0.781,143814,0.0245,3537
591,0.7505,145070,0.039,3406
594,0.816,146238,0.037,3400
597,0.8785,150615,0.015,3543
600,0.806,150260,0.016,3582
603,0.7655,147604,0.063,3854
606,0.797,150441,0.008,3566
609,0.8585,157462,0.0315,3647
612,0.848,154641,0.019,3849
615,0.8265,152988,0.0175,3814
618,0.8675,157890,0.0405,4101
621,0.8915,162791,0.018,4025
624,0.933,166996,0.0155,3499
627,0.969,160591,0.031,4044
630,0.932,163685,0.024,3808
633,0.913,163984,0.013,3797
636,0.8935,163305,0.024,4112
639,0.9215,167163,0.04,4095
642,0.8925,167759,0.0315,3805
645,0.936,168104,0.008,3542
648,0.954,176009,0.0315,3664
651,0.9375,173425,0.0235,3821
654,0.9295,171829,0.0235,4054
657,0.947,170698,0.0245,4075
660,0.9595,174705,0.0245,4113
663,0.9385,178427,0.047,4158
666,1.0215,181730,0.008,3943
669,0.961,178484,0.0385,4321
672,1.0895,185217,0.0235,4000
675,1.0005,181782,0.031,3743
678,0.9765,181330,0.0235,4347
681,0.9875,187233,0.024,4077
684,1.048,188732,0.0225,4440
687,1.024,192316,0.039,4247
690,1.046,188488,0.008,3986
693,1.2045,195068,0.039,4195
696,1.0935,194051,0.04,4403
699,1.125,198910,0.0315,4160
702,1.067,198764,0.039,4442
705,1.156,197683,0.025,4625
708,1.1465,200868,0.039,4371
711,1.1045,201540,0.039,4645
714,1.297,199330,0.0465,4619
717,1.2975,204435,0.043,4489
720,1.2185,202598,0.0235,4486
723,1.2805,212068,0.023,4745
726,1.129,206011,0.032,4770
729,1.207,218991,0.0395,4746
732,1.1105,208816,0.0245,4514
735,1.218,216233,0.0555,4792
738,1.223,218993,0.0255,4141
741,1.216,220596,0.0155,4629
744,1.23,220056,0.016,4412
747,1.1995,216123,0.018,4487
750,1.1995,222619,0.016,4600
753,1.254,222298,0.0565,4930
