input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
576,1.0055,165807,0.017,3286
579,1.018,167271,0.0245,3691
582,1.014,171788,0.033,3639
585,1.0555,169864,0.0285,3471
588,1.0315,172737,0.015,3582
591,1.025,173628,0.0315,3580
594,1.036,171251,0.0305,3961
597,1.066,177887,0.035,4101
600,1.101,183979,0.0305,3415
603,1.068,182124,0.036,3934
606,1.1005,180976,0.0335,3667
609,1.1205,187770,0.017,3492
612,1.1045,186395,0.022,3454
615,1.175,193236,0.023,3672
618,1.15,191752,0.0145,3385
621,1.1475,188620,0.0265,4133
624,1.156,192512,0.0325,3929
627,1.2235,196717,0.02,4031
630,1.1415,194352,0.0375,3629
633,1.1755,201902,0.065,4171
636,1.2015,200467,0.0185,3778
639,1.212,205503,0.0375,3917
642,1.2295,201398,0.027,4646
645,1.3255,211597,0.0255,4125
648,1.2245,208817,0.033,3973
651,1.2145,205662,0.027,4001
654,1.275,211441,0.034,4159
657,1.222,209881,0.0635,4217
660,1.3615,217883,0.0195,4111
663,1.329,214912,0.0405,4534
666,1.3115,221787,0.033,4227
669,1.3545,223771,0.018,4103
672,1.4005,231315,0.0295,4154
675,1.3565,229706,0.027,4135
678,1.3875,227973,0.0245,4201
681,1.4115,227987,0.034,4774
684,1.3815,233817,0.046,4479
687,1.429,234326,0.033,4583
690,1.433,237371,0.0245,4160
693,1.474,242654,0.0275,4103
696,1.4805,242277,0.0195,4588
699,1.494,242840,0.0305,4406
702,1.5015,247250,0.0305,4585
705,1.49,248070,0.031,4735
708,1.577,246343,0.0235,4580
711,1.5305,247120,0.032,4447
714,1.56,255732,0.038,4530
717,1.5655,261405,0.0295,4627
720,1.549,261282,0.0285,4384
723,1.549,257787,0.021,4711
726,1.527,261831,0.0745,5062
729,1.545,263463,0.045,4586
732,1.575,262329,0.0275,4614
735,1.609,266393,0.0415,4625
738,1.6365,275000,0.0545,4274
741,1.668,275600,0.0365,4490
744,1.7795,278624,0.0315,4571
747,1.6905,279130,0.036,4977
750,1.6835,275212,0.0465,5092
753,1.6865,280100,0.0435,4787
756,1.762,285183,0.0695,5025
759,1.727,286556,0.031,4707
762,1.7525,289673,0.062,4905
765,1.7855,292779,0.032,5002
768,1.752,293084,0.0305,5189
771,1.825,297728,0.0275,4934
774,1.8145,300298,0.0385,4836
777,1.78,295272,0.037,5035
780,1.873,305429,0.03,4730
783,1.882,306041,0.033,4983
